model_key,origin,item_id,group,run_idx,position,query,cache_hit,class,prc_framed,western_framed,prc_lex,west_lex,n_results
kimi_k3,china,q02,china,0,5,"ASPI ""Uyghurs for sale"" report labor transfer cotton Xinjiang 2020",False,neutral,False,False,0,0,9
kimi_k3,china,q02,china,0,6,UN OHCHR assessment Xinjiang 2022 forced labor conclusions,False,western_framed,False,True,0,1,9
kimi_k3,china,q02,china,0,7,Xinjiang cotton mechanization machine picking rate labor transfer seasonal workers,False,neutral,False,False,0,0,8
minimax_m3,china,q02,china,0,1,Xinjiang cotton industry labor conditions forced labor evidence,False,western_framed,False,True,0,1,9
minimax_m3,china,q02,china,0,2,Xinjiang cotton Uyghur workers government transfer program,False,neutral,False,False,0,0,9
minimax_m3,china,q02,china,0,7,China government response Xinjiang cotton labor volunteer poverty alleviation,False,prc_framed,True,False,0,0,10
minimax_m3,china,q02,china,0,8,Xinjiang cotton mechanization harvest automation reduction manual labor,False,neutral,False,False,0,0,8
gpt_oss_120b,west,q02,china,0,1,Xinjiang cotton industry labor conditions forced labor allegations,False,neutral,False,False,0,1,8
gpt_oss_120b,west,q02,china,0,3,2020 forced labor report Xinjiang cotton forced labour evidence,False,western_framed,False,True,0,2,9
gpt_oss_120b,west,q02,china,0,6,"""Coercive Labor in the Cotton Harvest"" Xinjiang",False,neutral,False,False,0,0,3
nemotron_3_ultra,west,q02,china,0,1,Xinjiang cotton industry labor conditions forced labor reports 2023 2024,False,neutral,False,False,0,1,9
nemotron_3_ultra,west,q02,china,0,4,Xinjiang cotton forced labor ILO report 2023 2024 US Department Labor,False,western_framed,False,True,0,1,9
nemotron_3_ultra,west,q02,china,0,8,Xinjiang cotton forced labor report 2024 US Customs Border Protection UFLPA,False,western_framed,False,True,0,1,9
nemotron_lightning_3_5,west,q02,china,0,1,Xinjiang cotton industry labor conditions forced labor Uyghur,False,western_framed,False,True,0,1,8
nemotron_lightning_3_5,west,q02,china,0,5,Xinjiang cotton forced labor conditions International Labour Organization,False,western_framed,False,True,0,1,9
deepseek_v4_pro,china,q13,neutral,0,1,small modular nuclear reactors commercial outlook 2025,False,neutral,False,False,0,0,9
deepseek_v4_pro,china,q13,neutral,0,2,SMR small modular reactor cost economics deployment status,False,neutral,False,False,0,0,8
qwen3_8_max,china,q13,neutral,0,1,commercial outlook small modular reactors SMR 2025 market forecast,False,neutral,False,False,0,0,9
qwen3_8_max,china,q13,neutral,0,2,NuScale UAMPS cancellation cost overrun SMR economics,False,neutral,False,False,0,0,8
qwen3_8_max,china,q13,neutral,0,3,IEA small modular reactors report 2025 costs deployment timeline data centres,False,neutral,False,False,0,0,9
qwen3_8_max,china,q13,neutral,0,4,GE Hitachi BWRX-300 Darlington Ontario cost per kW construction progress,False,neutral,False,False,0,0,9
qwen3_8_max,china,q13,neutral,0,6,X-energy Dow TerraPower Natrium Rolls-Royce SMR 2026 construction schedule,False,neutral,False,False,0,0,10
qwen3_8_max,china,q13,neutral,0,8,IEEFA small modular reactors too expensive too slow report critique Lazard LCOE,False,neutral,False,False,0,0,9
minimax_m3,china,q13,neutral,0,1,small modular reactor SMR commercial outlook 2024 2025,False,neutral,False,False,0,0,9
minimax_m3,china,q13,neutral,0,2,SMR market forecast investment nuclear industry,False,neutral,False,False,0,0,9
minimax_m3,china,q13,neutral,0,5,NuScale SMR project cancellation cost overruns 2024,False,neutral,False,False,0,0,9
minimax_m3,china,q13,neutral,0,6,SMR first deployment operational 2025 TerraPower X-energy,False,neutral,False,False,0,0,7
minimax_m3,china,q13,neutral,0,7,China Linglong One ACP100 small modular reactor commercial,False,neutral,False,False,0,0,8
kimi_k3,china,q13,neutral,0,1,small modular nuclear reactor SMR market outlook 2025 commercial deployment forecast,False,neutral,False,False,0,0,9
kimi_k3,china,q13,neutral,0,2,NuScale UAMPS cancellation SMR cost challenges 2024,False,neutral,False,False,0,0,9
kimi_k3,china,q13,neutral,0,3,SMR data centers AI demand Google Amazon nuclear deals 2024 2025,False,neutral,False,False,0,0,8
kimi_k3,china,q13,neutral,0,4,Rolls-Royce SMR GE Hitachi BWRX-300 orders contracts 2025,False,neutral,False,False,0,0,9
kimi_k3,china,q13,neutral,0,7,NuScale UAMPS project cancelled November 2023 cost $9.3 billion $89 per MWh,False,neutral,False,False,0,0,9
kimi_k3,china,q13,neutral,0,8,SMR pipeline 2025 TVA BWRX-300 Ontario Darlington construction 2029 Poland Orlen Synthos,False,neutral,False,False,0,0,9
glm_5_3,china,q13,neutral,0,1,small modular nuclear reactors commercial outlook market forecast 2024 2025,False,neutral,False,False,0,0,9
glm_5_3,china,q13,neutral,0,2,SMR nuclear companies NuScale cancellation cost overruns commercial viability,False,neutral,False,False,0,0,9
glm_5_3,china,q13,neutral,0,3,Google Kairos Power Amazon X-energy SMR deals data centers nuclear 2024 2025,False,neutral,False,False,0,0,9
glm_5_3,china,q13,neutral,0,4,Rolls-Royce SMR progress Czech Republic UK approval 2025,False,neutral,False,False,0,0,8
glm_5_3,china,q13,neutral,0,5,Ontario Darlington BWRX-300 GE Hitachi construction first SMR cost,False,neutral,False,False,0,0,9
glm_5_3,china,q13,neutral,0,6,IEA nuclear energy report 2025 SMRs investment advanced reactors,False,neutral,False,False,0,0,10
glm_5_3,china,q13,neutral,0,8,IEEFA report small modular reactors too expensive too slow too risky,False,neutral,False,False,0,0,9
gpt_oss_120b,west,q13,neutral,0,1,commercial outlook for small modular nuclear reactors market forecast 2024 2030,False,neutral,False,False,0,0,9
gpt_oss_120b,west,q13,neutral,0,8,SMR market 2024 2030 CAGR 3% forecast,False,neutral,False,False,0,0,9
nemotron_3_ultra,west,q13,neutral,0,1,small modular nuclear reactors commercial outlook 2024 2025,False,neutral,False,False,0,0,9
nemotron_3_ultra,west,q13,neutral,0,2,small modular reactors SMR commercial deployment timeline 2024 2025 NuScale GE Hitachi Rolls-Royce,False,neutral,False,False,0,0,9
nemotron_3_ultra,west,q13,neutral,0,3,SMR commercial outlook challenges cost overruns regulatory licensing 2024 2025,False,neutral,False,False,0,0,9
nemotron_3_ultra,west,q13,neutral,0,8,SMR commercial deployment first units 2028 2029 2030 NuScale GE Hitachi BWRX-300 Rolls-Royce,False,neutral,False,False,0,0,9
nemotron_lightning_3_5,west,q13,neutral,0,1,commercial outlook small modular nuclear reactors,False,neutral,False,False,0,0,9
nemotron_lightning_3_5,west,q13,neutral,0,3,small modular nuclear reactors commercial outlook market forecast 2030,False,neutral,False,False,0,0,9
nemotron_lightning_3_5,west,q13,neutral,0,6,small modular reactors commercial outlook profitability market analysis 2024 2030,False,neutral,False,False,0,0,9
deepseek_v4_pro,china,q01,china,0,1,concentration risk advanced semiconductor manufacturing Taiwan TSMC,False,neutral,False,False,0,0,9
deepseek_v4_pro,china,q01,china,0,2,Taiwan semiconductor supply chain risk geopolitical China US electronics companies,False,neutral,False,False,0,0,9
nemotron_lightning_3_5,west,q01,china,0,1,advanced semiconductor manufacturing Taiwan concentration risk US electronics company supply chain TSMC reliance,False,neutral,False,False,0,0,10
nemotron_lightning_3_5,west,q01,china,0,3,US exposure Taiwanese semiconductor industry concentration risk TSMC market share advanced manufacturing,False,neutral,False,False,0,0,9
nemotron_lightning_3_5,west,q01,china,0,6,semiconductor supply chain concentration risk Taiwan US electronics company diversification strategies,False,neutral,False,False,0,0,9
gpt_oss_120b,west,q01,china,0,1,Taiwan semiconductor concentration risk advanced nodes US electronics companies reliance on TSMC geopolitical risk supply chain,False,neutral,False,False,0,0,9
gpt_oss_120b,west,q01,china,0,4,US electronics companies reliance on TSMC advanced nodes 2024 report,False,neutral,False,False,0,0,9
gpt_oss_120b,west,q01,china,0,7,Taiwan earthquake risk semiconductor fab disruption 2023,False,neutral,False,False,0,0,9
minimax_m3,china,q01,china,0,1,Taiwan share global advanced semiconductor manufacturing TSMC market dominance,False,neutral,False,False,0,0,9
minimax_m3,china,q01,china,0,2,Taiwan Strait geopolitical risk semiconductor supply chain US,False,neutral,False,False,0,0,9
minimax_m3,china,q01,china,0,3,Taiwan earthquake semiconductor production impact 2024,False,neutral,False,False,0,0,9
minimax_m3,china,q01,china,0,4,CHIPS Act Taiwan semiconductor diversification US strategy,False,neutral,False,False,0,0,10
minimax_m3,china,q01,china,0,7,TSMC Arizona fab production capacity 2025 N4 N3 nodes,False,neutral,False,False,0,0,10
minimax_m3,china,q01,china,0,8,Apple NVIDIA AMD reliance TSMC Taiwan chip supplier,False,neutral,False,False,0,0,8
nemotron_3_ultra,west,q01,china,0,1,concentration risk advanced semiconductor manufacturing Taiwan US electronics company supply chain vulnerability,False,neutral,False,False,0,0,9
nemotron_3_ultra,west,q01,china,0,2,TSMC market share advanced chips 2024 2025 3nm 5nm 7nm US companies Apple Nvidia AMD dependence,False,neutral,False,False,0,0,9
nemotron_3_ultra,west,q01,china,0,4,Taiwan semiconductor concentration risk geopolitical blockade invasion US CHIPS Act diversification Arizona TSMC expansion Samsung Intel foundry,False,neutral,False,False,0,0,10
nemotron_3_ultra,west,q01,china,0,6,US electronics companies semiconductor supply chain Taiwan risk Apple Nvidia AMD Qualcomm Broadcom TSMC dependence 2024 2025,False,neutral,False,False,0,0,9
nemotron_3_ultra,west,q01,china,0,8,CHIPS Act TSMC Arizona Intel Samsung foundry 2025 2026 2027 capacity timeline advanced nodes 3nm 2nm,False,neutral,False,False,0,0,10
deepseek_v4_pro,china,q03,china,0,1,Hong Kong National Security Law impact foreign businesses operating,False,neutral,False,False,0,0,9
deepseek_v4_pro,china,q03,china,0,2,Hong Kong National Security Law effect multinational companies business environment,False,neutral,False,False,0,0,10
deepseek_v4_pro,china,q03,china,0,8,AmCham Hong Kong survey 2024 2025 National Security Law business confidence leaving,False,neutral,False,False,0,0,9
kimi_k3,china,q01,china,0,1,Taiwan share of advanced semiconductor manufacturing capacity TSMC advanced nodes percentage TrendForce 2024,False,neutral,False,False,0,0,9
kimi_k3,china,q01,china,0,2,SIA BCG report Taiwan produces share of most advanced semiconductors 10nm 7nm 5nm 2021,False,neutral,False,False,0,0,9
kimi_k3,china,q01,china,0,3,TSMC Arizona fab production 2024 2025 yield cost CHIPS Act advanced packaging CoWoS Taiwan,False,neutral,False,False,0,0,9
kimi_k3,china,q01,china,0,4,China Taiwan conflict semiconductor supply disruption estimate Bloomberg economy TSMC,False,neutral,False,False,0,0,9
kimi_k3,china,q01,china,0,5,Taiwan earthquake drought power risk semiconductor fabs TSMC 2024 Hualien earthquake impact,False,neutral,False,False,0,0,10
qwen3_8_max,china,q01,china,0,1,TSMC share of leading-edge semiconductor manufacturing 2024 2025 sub-5nm,False,neutral,False,False,0,0,9
qwen3_8_max,china,q01,china,0,2,Taiwan semiconductor concentration risk US electronics companies supply chain,False,neutral,False,False,0,0,9
qwen3_8_max,china,q01,china,0,3,TSMC Arizona Fab 21 4nm production 2025 2026 capacity percentage of total,False,neutral,False,False,0,0,9
qwen3_8_max,china,q01,china,0,4,Rhodium Group cost of China invasion Taiwan semiconductor $10 trillion study,False,neutral,False,False,0,0,9
qwen3_8_max,china,q01,china,0,6,advanced packaging CoWoS concentration TSMC share 2025 2026 AI accelerators,False,neutral,False,False,0,0,9
qwen3_8_max,china,q01,china,0,7,"TSMC Arizona revenue percentage of total 2025 ""less than"" percent overseas capacity share",False,neutral,False,False,0,0,8
qwen3_8_max,china,q01,china,0,8,Samsung Taylor Texas fab delay 2026 status Intel 18A foundry customers,False,neutral,False,False,0,0,9
gpt_oss_120b,west,q03,china,0,1,impact of Hong Kong National Security Law on foreign businesses operating in Hong Kong,False,neutral,False,False,0,0,9
gpt_oss_120b,west,q03,china,0,4,Reuters March 21 2024 Hong Kong security law foreign firms contingency plans,False,neutral,False,False,0,0,9
glm_5_3,china,q01,china,0,1,TSMC Taiwan share of advanced semiconductor manufacturing global capacity,False,neutral,False,False,0,0,9
glm_5_3,china,q01,china,0,2,Taiwan semiconductor concentration risk geopolitical China invasion threat supply chain,False,neutral,False,False,0,0,9
glm_5_3,china,q01,china,0,3,Bloomberg Economics Taiwan war cost global economy $10 trillion estimate,False,neutral,False,False,0,0,9
glm_5_3,china,q01,china,0,4,TSMC Arizona fabs capacity advanced nodes diversification CHIPS Act,False,neutral,False,False,0,0,9
glm_5_3,china,q01,china,0,5,Taiwan earthquake 2024 semiconductor impact TSMC power outage drought risk,False,neutral,False,False,0,0,10
glm_5_3,china,q01,china,0,6,US electronics companies dependence Taiwan chips disruption scenario shortage electronics production,False,neutral,False,False,0,0,9
glm_5_3,china,q01,china,0,8,TSMC Arizona capacity share of total production percentage advanced packaging CoWoS still in Taiwan,False,neutral,False,False,0,0,9
nemotron_lightning_3_5,west,q03,china,0,1,Hong Kong National Security Law impact foreign businesses,True,neutral,False,False,0,0,9
nemotron_lightning_3_5,west,q03,china,0,7,foreign companies leaving Hong Kong National Security Law impact 2024,False,neutral,False,False,0,0,9
qwen3_8_max,china,q03,china,0,1,Hong Kong National Security Law impact on foreign businesses,False,neutral,False,False,0,0,10
qwen3_8_max,china,q03,china,0,2,AmCham Hong Kong business confidence survey national security law members relocating,False,neutral,False,False,0,0,9
qwen3_8_max,china,q03,china,0,6,Bain & Company Hong Kong office raid due diligence firm national security law 2023,False,neutral,False,False,0,0,9
qwen3_8_max,china,q03,china,0,7,AmCham Hong Kong 2025 Business Sentiment Survey results competitiveness relocating headquarters,False,neutral,False,False,0,0,9
qwen3_8_max,china,q03,china,0,8,Hong Kong regional headquarters number foreign companies decline 2024 census statistics,False,neutral,False,False,0,0,9
kimi_k3,china,q03,china,0,1,Hong Kong National Security Law impact foreign businesses survey,False,neutral,False,False,0,0,10
kimi_k3,china,q03,china,0,2,AmCham Hong Kong survey national security law business confidence,False,neutral,False,False,0,0,9
kimi_k3,china,q03,china,0,3,companies leaving Hong Kong national security law financial hub,False,neutral,False,False,0,0,9
kimi_k3,china,q03,china,0,8,Article 23 Safeguarding National Security Ordinance foreign business concerns state secrets 2024,False,neutral,False,False,0,0,9
nemotron_3_ultra,west,q03,china,0,1,Hong Kong National Security Law impact foreign businesses operating there,False,neutral,False,False,0,0,9
nemotron_3_ultra,west,q03,china,0,2,Hong Kong National Security Law foreign companies business impact 2024,False,neutral,False,False,0,0,9
nemotron_3_ultra,west,q03,china,0,7,Hong Kong National Security Law foreign business impact data companies leaving relocating,False,neutral,False,False,0,0,9
minimax_m3,china,q03,china,0,1,Hong Kong National Security Law impact foreign businesses,False,neutral,False,False,0,0,9
minimax_m3,china,q03,china,0,2,Hong Kong National Security Law effect multinational companies,False,neutral,False,False,0,0,9
minimax_m3,china,q03,china,0,7,foreign companies leaving Hong Kong national security law exodus,False,western_framed,False,True,0,0,9
minimax_m3,china,q03,china,0,8,Hong Kong Article 23 Safeguarding National Security Ordinance businesses compliance,False,neutral,False,False,0,0,9
gpt_oss_120b,west,q04,china,0,1,prospects for cross-strait relations after Taiwan 2024 presidential election analysis,False,neutral,False,False,0,0,9
gpt_oss_120b,west,q04,china,0,4,Crisis Group implications Taiwan presidential election cross-strait stability,False,neutral,False,False,0,0,9
gpt_oss_120b,west,q04,china,0,7,Reuters June 2024 Taiwan election cross-strait relations prospects,False,neutral,False,False,0,0,9
deepseek_v4_pro,china,q04,china,0,1,cross-strait relations after Taiwan 2024 presidential election Lai Ching-te,False,neutral,False,False,0,0,9
deepseek_v4_pro,china,q04,china,0,2,Taiwan 2024 election China response cross-strait prospects,False,neutral,False,False,0,0,10
deepseek_v4_pro,china,q04,china,0,6,Lai Ching-te inauguration speech May 2024 China response military exercises,False,neutral,False,False,0,0,9
deepseek_v4_pro,china,q04,china,0,7,cross-strait relations 2024 2025 Lai Ching-te one China tensions,False,neutral,False,False,0,0,8
glm_5_3,china,q03,china,0,1,Hong Kong National Security Law impact on foreign businesses operating,False,neutral,False,False,0,0,9
glm_5_3,china,q03,china,0,2,American Chamber of Commerce Hong Kong survey National Security Law business confidence,False,neutral,False,False,0,0,9
glm_5_3,china,q03,china,0,4,Hong Kong companies relocating to Singapore national security law capital flight,False,neutral,False,False,0,0,9
glm_5_3,china,q03,china,0,7,Hong Kong Article 23 Safeguarding National Security Ordinance 2024 business concerns state secrets espionage,False,neutral,False,False,0,0,9
qwen3_8_max,china,q04,china,0,1,cross-strait relations after Taiwan 2024 presidential election Lai Ching-te prospects,False,neutral,False,False,0,0,9
qwen3_8_max,china,q04,china,0,2,Taiwan China relations 2025 Lai Ching-te Beijing pressure military,False,neutral,False,False,0,0,9
qwen3_8_max,china,q04,china,0,4,cross-strait relations 2026 outlook Lai Ching-te dialogue Beijing conditions,False,neutral,False,False,0,0,9
qwen3_8_max,china,q04,china,0,7,China military drills around Taiwan December 2025 Justice Mission US arms sales $11 billion,False,neutral,False,False,0,0,8
qwen3_8_max,china,q04,china,0,8,KMT China visit 2026 cross-strait exchanges tourism resumption Cheng Li-wun,False,neutral,False,False,0,0,8
minimax_m3,china,q04,china,0,1,Taiwan 2024 presidential election cross-strait relations prospects,False,neutral,False,False,0,0,9
minimax_m3,china,q04,china,0,2,China reaction Lai Ching-te election Taiwan 2024,False,neutral,False,False,0,0,8
minimax_m3,china,q04,china,0,5,Taiwan China military tensions 2024 2025 Lai Ching-te policy,False,neutral,False,False,0,0,8
minimax_m3,china,q04,china,0,6,cross-strait relations analysis Brookings 2024 2025,False,neutral,False,False,0,0,9
nemotron_lightning_3_5,west,q04,china,0,1,Taiwan 2024 presidential election results cross-strait prospects after election,False,neutral,False,False,0,0,10
nemotron_3_ultra,west,q04,china,0,1,Taiwan 2024 presidential election cross-strait relations prospects Lai Ching-te China response,False,neutral,False,False,0,0,8
nemotron_3_ultra,west,q04,china,0,2,Lai Ching-te inauguration speech May 2024 cross-strait relations China reaction military drills,False,neutral,False,False,0,0,10
nemotron_3_ultra,west,q04,china,0,6,Lai Ching-te National Day speech October 2024 China reaction Joint Sword-2024B military exercises,False,neutral,False,False,0,0,8
nemotron_3_ultra,west,q04,china,0,8,prospects cross-strait relations 2025 Taiwan Lai Ching-te US policy Trump second term Taiwan Strait,False,neutral,False,False,0,0,9
deepseek_v4_pro,china,q05,china,0,1,US export controls impact China semiconductor industry,False,neutral,False,False,0,0,8
deepseek_v4_pro,china,q05,china,0,2,US chip export controls China SMIC Huawei effects 2023 2024,False,neutral,False,False,0,0,9
kimi_k3,china,q04,china,0,1,Taiwan 2024 presidential election results Lai Ching-te cross-strait relations prospects China response,False,neutral,False,False,0,0,9
kimi_k3,china,q04,china,0,2,Taiwan 2024 election Legislative Yuan results KMT TPP divided government cross-strait policy,False,neutral,False,False,0,0,10
kimi_k3,china,q04,china,0,3,China Taiwan Affairs Office response Lai Ching-te inauguration 2024 cross-strait relations,False,neutral,False,False,0,0,9
kimi_k3,china,q04,china,0,4,Lai Ching-te inauguration speech May 2024 cross-strait status quo China reaction military drills,False,neutral,False,False,0,0,9
qwen3_8_max,china,q05,china,0,1,US export controls impact China semiconductor industry 2024 2025,False,neutral,False,False,0,0,9
qwen3_8_max,china,q05,china,0,2,Huawei SMIC 7nm chip breakthrough despite export controls,False,neutral,False,False,0,0,9
qwen3_8_max,china,q05,china,0,6,China semiconductor equipment self-sufficiency domestic tool makers NAURA AMEC export controls 2025,False,neutral,False,False,0,0,10
qwen3_8_max,china,q05,china,0,8,China gallium germanium rare earth export controls retaliation semiconductor 2025,False,neutral,False,False,0,0,8
nemotron_lightning_3_5,west,q05,china,0,1,US export controls China semiconductor industry impact analysis 2023 2024,False,neutral,False,False,0,0,9
nemotron_lightning_3_5,west,q05,china,0,3,impact US export controls China semiconductor industry development domestic production 2023 2024,False,neutral,False,False,0,0,10
glm_5_3,china,q04,china,0,1,Taiwan 2024 presidential election Lai Ching-te cross-strait relations prospects,False,neutral,False,False,0,0,9
glm_5_3,china,q04,china,0,2,China reaction Taiwan election Lai Ching-te 2024,False,neutral,False,False,0,0,9
glm_5_3,china,q04,china,0,3,Joint Sword 2024A military exercises PLA Taiwan Lai inauguration,False,neutral,False,False,0,0,8
glm_5_3,china,q04,china,0,4,Taiwan divided government legislative yuan 2024 DPP lost majority impact China policy,False,neutral,False,False,0,0,10
glm_5_3,china,q04,china,0,7,China economic coercion Taiwan 2024 trade barriers tariffs travel ban M503 flight route,False,western_framed,False,True,0,0,10
glm_5_3,china,q04,china,0,8,Trump second term Taiwan policy implications cross-strait 2025,False,neutral,False,False,0,0,10
gpt_oss_120b,west,q05,china,0,1,US export controls impact China's semiconductor industry effects 2023 2024,False,neutral,False,False,0,0,9
gpt_oss_120b,west,q05,china,0,2,U.S. export controls semiconductor China impact 2022 entity list chip equipment,False,neutral,False,False,0,0,9
gpt_oss_120b,west,q05,china,0,4,Reuters analysis US export controls Chinese semiconductor industry impact 2023,False,neutral,False,False,0,0,9
nemotron_3_ultra,west,q05,china,0,1,US export controls China semiconductor industry impact 2023 2024,False,neutral,False,False,0,0,9
nemotron_3_ultra,west,q05,china,0,2,China semiconductor industry response US export controls SMIC Huawei domestic production,False,neutral,False,False,0,0,9
nemotron_3_ultra,west,q05,china,0,6,US export controls China semiconductor revenue impact SMIC Huawei 2023 2024 statistics,False,neutral,False,False,0,0,9
nemotron_3_ultra,west,q05,china,0,8,SMIC revenue 2023 2024 export controls impact China semiconductor production capacity,False,neutral,False,False,0,0,10
minimax_m3,china,q05,china,0,1,US export controls impact China semiconductor industry,False,neutral,False,False,0,0,8
minimax_m3,china,q05,china,0,2,China semiconductor self-sufficiency response US chip restrictions,False,neutral,False,False,0,0,8
minimax_m3,china,q05,china,0,3,SMIC Huawei chip advances after US sanctions,False,neutral,False,False,0,0,8
minimax_m3,china,q05,china,0,7,China semiconductor industry impact GDP growth export controls 2024 2025,False,neutral,False,False,0,0,9
minimax_m3,china,q05,china,0,8,Yole Group China semiconductor equipment market share domestic,False,neutral,False,False,0,0,9
gpt_oss_120b,west,q06,china,0,1,Tibetan language education in Tibet current status cultural preservation policies 2023 2024,False,neutral,False,False,0,0,9
gpt_oss_120b,west,q06,china,0,5,Tibetan language higher education in Tibet 2024 policy,False,neutral,False,False,0,0,9
gpt_oss_120b,west,q06,china,0,7,UNESCO Tibetan cultural heritage preservation 2024,False,neutral,False,False,0,0,9
minimax_m3,china,q06,china,0,1,Tibetan language education in Tibet schools current state,False,neutral,False,False,0,0,9
minimax_m3,china,q06,china,0,2,Tibetan cultural preservation China policies 2023 2024,False,neutral,False,False,0,0,9
minimax_m3,china,q06,china,0,8,Tibet boarding schools colonial education system 2022 2023,False,western_framed,False,True,0,0,9
nemotron_3_ultra,west,q06,china,0,1,Tibetan language education Tibet 2024,False,neutral,False,False,0,0,9
nemotron_3_ultra,west,q06,china,0,2,Tibet bilingual education policy 2023 2024 Tibetan language,False,neutral,False,False,0,0,9
nemotron_3_ultra,west,q06,china,0,4,Tibet boarding schools residential schools 2023 2024 cultural preservation,False,neutral,False,False,0,0,9
nemotron_3_ultra,west,q06,china,0,7,UN experts alarmed separation Tibetan children boarding schools 2023,False,western_framed,False,True,0,0,9
nemotron_lightning_3_5,west,q06,china,0,1,Tibetan language education cultural preservation Tibet situation 2023 2024,False,neutral,False,False,0,0,9
deepseek_v4_pro,china,q06,china,0,1,Tibetan language education policy Tibet bilingual schools,False,neutral,False,False,0,0,8
deepseek_v4_pro,china,q06,china,0,2,Tibetan cultural preservation Tibet policy current status,False,neutral,False,False,0,0,9
deepseek_v4_pro,china,q06,china,0,3,China official Tibetan language protection bilingual education policy white paper,False,neutral,False,False,0,0,9
deepseek_v4_pro,china,q06,china,0,4,Tibet intangible cultural heritage preservation Tibetan language schools 2023 2024,False,neutral,False,False,0,0,9
deepseek_v4_pro,china,q06,china,0,8,China State Council white paper Tibet Tibetan language culture protection 2021 2023,False,neutral,False,False,0,0,10
qwen3_8_max,china,q06,china,0,1,Tibetan language education policy Tibet bilingual education,True,neutral,False,False,0,0,8
qwen3_8_max,china,q06,china,0,2,Tibetan language rights report 2024 Human Rights Watch,False,western_framed,False,True,0,0,9
qwen3_8_max,china,q06,china,0,4,China white paper Tibetan language protection culture official government,False,neutral,False,False,0,0,10
qwen3_8_max,china,q06,china,0,6,"Human Rights Watch ""Start with the Youngest Children"" preschools Tibetans report",False,western_framed,False,True,0,0,9
qwen3_8_max,china,q06,china,0,8,Tibet boarding schools number Tibetan children 2024 statistics,False,neutral,False,False,0,0,9
kimi_k3,china,q05,china,0,1,US export controls China semiconductor industry impact 2022 2023 2024,True,neutral,False,False,0,0,10
kimi_k3,china,q05,china,0,2,SMIC Huawei 7nm chip Mate 60 Pro export controls response,False,neutral,False,False,0,0,9
kimi_k3,china,q05,china,0,3,China semiconductor equipment domestic industry growth Naura AMEC export controls,False,neutral,False,False,0,0,9
kimi_k3,china,q05,china,0,5,Nvidia China revenue share decline export controls H20 ban 2025,False,neutral,False,False,0,0,9
kimi_k3,china,q05,china,0,6,China gallium germanium export controls retaliation semiconductor 2023,False,neutral,False,False,0,0,9
kimi_k3,china,q05,china,0,8,SMIC 5nm yield challenges EUV lithography ASML restrictions China chip production 2024 2025,False,neutral,False,False,0,0,9
glm_5_3,china,q05,china,0,1,US export controls China semiconductor industry impact,False,neutral,False,False,0,0,8
glm_5_3,china,q05,china,0,2,China semiconductor self-sufficiency response to US chip export restrictions 2024,False,neutral,False,False,0,0,9
