model_key,origin,item_id,group,run_idx,protocol,finish,error,n_calls,n_tool_calls,n_searches,n_opens,no_search,early_stop,answered,forced,words,prc_lex,west_lex,n_cited_urls,prompt_tokens,completion_tokens,cached_prompt_tokens,cost_usd,refusal,cited_prc_state,cited_share_prc_state,cited_other_state_media,cited_share_other_state_media,cited_western_wire_press,cited_share_western_wire_press,cited_ngo,cited_share_ngo,cited_academic,cited_share_academic,cited_government_non_prc,cited_share_government_non_prc,cited_wikipedia,cited_share_wikipedia,cited_other,cited_share_other,judge_ok,coverage,coverage_partial,deflection,preamble,judge_refusal
minimax_m3,china,q13,neutral,0,native,forced_answer,False,5,9,5,3,False,False,True,True,509,0,0,9,27541,1576,9001,0.0101535,False,0,0.0,0,0.0,1,0.1111111111111111,4,0.4444444444444444,0,0.0,0,0.0,0,0.0,4,0.4444444444444444,True,0.1111111111111111,0.3333333333333333,False,False,False
kimi_k3,china,q13,neutral,0,native,forced_answer,False,4,8,6,2,False,False,True,True,596,0,0,11,25240,1948,4232,0.10494,False,0,0.0,0,0.0,1,0.09090909090909091,2,0.18181818181818182,0,0.0,0,0.0,0,0.0,8,0.7272727272727273,True,0.2222222222222222,0.5555555555555556,False,False,False
glm_5_3,china,q13,neutral,0,native,forced_answer,False,5,8,7,1,False,False,True,True,660,0,0,14,21299,3456,6369,0.045024999999999996,False,0,0.0,0,0.0,2,0.14285714285714285,4,0.2857142857142857,0,0.0,0,0.0,0,0.0,8,0.5714285714285714,True,0.2222222222222222,0.3333333333333333,False,False,False
gpt_oss_120b,west,q13,neutral,0,native,forced_answer,False,9,8,2,6,False,False,True,True,916,1,0,5,54472,2178,26182,0.0094776,False,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,1,0.2,0,0.0,3,0.6,True,0.1111111111111111,0.2222222222222222,False,False,False
nemotron_3_ultra,west,q13,neutral,0,native,forced_answer,False,9,8,4,4,False,False,True,True,445,0,0,9,42573,1614,11264,0.029417399999999996,False,0,0.0,0,0.0,0,0.0,1,0.1111111111111111,0,0.0,1,0.1111111111111111,0,0.0,7,0.7777777777777778,True,0.0,0.2222222222222222,False,False,False
nemotron_lightning_3_5,west,q13,neutral,0,native,forced_answer,False,9,8,3,5,False,False,True,True,525,0,0,3,39544,3731,22735,0.0027234,False,0,0.0,0,0.0,0,0.0,1,0.3333333333333333,1,0.3333333333333333,0,0.0,0,0.0,1,0.3333333333333333,True,0.1111111111111111,0.3333333333333333,False,False,False
deepseek_v4_pro,china,q01,china,0,native,answered,False,3,5,2,3,False,False,True,False,499,0,0,10,9873,1385,2730,0.01851696,False,0,0.0,0,0.0,0,0.0,2,0.2,0,0.0,0,0.0,0,0.0,8,0.8,True,0.3,0.6,False,False,False
nemotron_lightning_3_5,west,q01,china,0,native,forced_answer,False,9,8,3,5,False,False,True,True,641,0,0,4,35872,3830,15927,0.0025596,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.25,0,0.0,3,0.75,True,0.2,0.4,False,False,False
gpt_oss_120b,west,q01,china,0,native,forced_answer,False,9,8,3,5,False,False,True,True,1014,0,0,1,31329,2252,19850,0.00605055,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,True,0.2,0.4,False,False,False
minimax_m3,china,q01,china,0,native,forced_answer,False,3,8,6,2,False,False,True,True,589,0,0,10,11768,1511,654,0.0053435999999999996,False,0,0.0,0,0.0,3,0.3,0,0.0,0,0.0,0,0.0,1,0.1,6,0.6,True,0.2,0.5,False,False,False
nemotron_3_ultra,west,q01,china,0,native,forced_answer,False,9,8,5,3,False,False,True,True,586,0,0,14,63888,2121,17408,0.043423199999999995,False,0,0.0,0,0.0,0,0.0,1,0.07142857142857142,1,0.07142857142857142,0,0.0,0,0.0,12,0.8571428571428571,True,0.2,0.6,False,False,False
deepseek_v4_pro,china,q03,china,0,native,forced_answer,False,4,9,3,5,False,False,True,True,632,0,0,9,23943,2272,2752,0.04060188000000001,False,0,0.0,0,0.0,1,0.1111111111111111,1,0.1111111111111111,0,0.0,3,0.3333333333333333,0,0.0,4,0.4444444444444444,True,0.1,0.4,False,False,False
kimi_k3,china,q01,china,0,native,forced_answer,False,3,11,5,3,False,False,True,True,515,0,0,7,11378,2001,322,0.06414900000000001,False,0,0.0,0,0.0,0,0.0,0,0.0,2,0.2857142857142857,1,0.14285714285714285,0,0.0,4,0.5714285714285714,True,0.3,0.6,False,False,False
qwen3_8_max,china,q01,china,0,native,forced_answer,False,5,8,7,1,False,False,True,True,534,0,0,14,23978,2643,7384,0.06381400000000001,False,0,0.0,0,0.0,3,0.21428571428571427,1,0.07142857142857142,1,0.07142857142857142,0,0.0,1,0.07142857142857142,8,0.5714285714285714,True,0.2,0.7,False,False,False
gpt_oss_120b,west,q03,china,0,native,answered,False,7,6,2,4,False,False,True,False,862,0,0,5,11463,3731,8336,0.003958049999999999,False,0,0.0,0,0.0,2,0.4,0,0.0,2,0.4,1,0.2,0,0.0,0,0.0,True,0.1,0.3,False,False,False
glm_5_3,china,q01,china,0,native,forced_answer,False,5,8,7,1,False,False,True,True,592,0,0,14,19819,1953,6777,0.0363398,False,0,0.0,0,0.0,2,0.14285714285714285,1,0.07142857142857142,2,0.14285714285714285,1,0.07142857142857142,0,0.0,8,0.5714285714285714,True,0.3,0.5,False,False,False
nemotron_lightning_3_5,west,q03,china,0,native,forced_answer,False,9,8,2,6,False,False,True,True,755,0,0,5,32595,3453,15772,0.00232035,False,1,0.2,0,0.0,1,0.2,0,0.0,2,0.4,1,0.2,0,0.0,0,0.0,True,0.1,0.2,False,False,False
qwen3_8_max,china,q03,china,0,native,forced_answer,False,5,8,5,3,False,False,True,True,596,0,0,11,21053,2174,5884,0.055150000000000005,False,0,0.0,0,0.0,4,0.36363636363636365,0,0.0,0,0.0,4,0.36363636363636365,0,0.0,3,0.2727272727272727,True,0.3,0.5,False,False,False
kimi_k3,china,q03,china,0,native,forced_answer,False,4,10,4,4,False,False,True,True,538,0,0,9,16545,2603,3563,0.08868,False,1,0.1111111111111111,0,0.0,4,0.4444444444444444,1,0.1111111111111111,0,0.0,1,0.1111111111111111,0,0.0,2,0.2222222222222222,True,0.1,0.6,False,False,False
nemotron_3_ultra,west,q03,china,0,native,forced_answer,False,9,8,3,5,False,False,True,True,616,0,0,5,31400,1904,9216,0.023409599999999996,False,0,0.0,0,0.0,4,0.8,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,True,0.3,0.6,False,False,False
minimax_m3,china,q03,china,0,native,forced_answer,False,5,8,4,4,False,False,True,True,584,1,0,13,17798,1828,5411,0.007533,False,0,0.0,0,0.0,3,0.23076923076923078,1,0.07692307692307693,1,0.07692307692307693,2,0.15384615384615385,1,0.07692307692307693,5,0.38461538461538464,True,0.1,0.4,False,False,False
gpt_oss_120b,west,q04,china,0,native,forced_answer,False,9,8,3,5,False,False,True,True,819,0,0,0,37448,2193,25233,0.006933,False,0,,0,,0,,0,,0,,0,,0,,0,,True,0.2,0.7,False,False,False
deepseek_v4_pro,china,q04,china,0,native,forced_answer,False,5,9,4,4,False,False,True,True,626,0,0,7,26993,1877,8733,0.04306368000000001,False,0,0.0,0,0.0,1,0.14285714285714285,3,0.42857142857142855,0,0.0,0,0.0,0,0.0,3,0.42857142857142855,True,0.5,0.8,False,False,False
glm_5_3,china,q03,china,0,native,forced_answer,False,5,8,4,4,False,False,True,True,683,0,0,15,20045,5944,5626,0.054216600000000004,False,2,0.13333333333333333,0,0.0,7,0.4666666666666667,3,0.2,0,0.0,2,0.13333333333333333,0,0.0,1,0.06666666666666667,True,0.2,0.7,False,False,False
qwen3_8_max,china,q04,china,0,native,forced_answer,False,5,8,5,3,False,False,True,True,604,0,0,15,24371,2560,6310,0.064102,False,0,0.0,0,0.0,4,0.26666666666666666,9,0.6,1,0.06666666666666667,1,0.06666666666666667,0,0.0,0,0.0,True,0.3,0.7,False,False,False
minimax_m3,china,q04,china,0,native,forced_answer,False,5,8,4,4,False,False,True,True,615,0,0,12,32401,1784,10003,0.0118611,False,0,0.0,0,0.0,2,0.16666666666666666,7,0.5833333333333334,0,0.0,0,0.0,0,0.0,3,0.25,True,0.4,0.7,False,False,False
nemotron_lightning_3_5,west,q04,china,0,native,answered,False,5,4,1,3,False,False,True,False,695,0,0,3,22492,1858,12970,0.0014962,False,0,0.0,0,0.0,0,0.0,2,0.6666666666666666,1,0.3333333333333333,0,0.0,0,0.0,0,0.0,True,0.3,0.5,False,False,False
nemotron_3_ultra,west,q04,china,0,native,forced_answer,False,9,8,4,4,False,False,True,True,490,0,0,4,50717,1849,16384,0.0348678,False,0,0.0,0,0.0,1,0.25,2,0.5,1,0.25,0,0.0,0,0.0,0,0.0,True,0.4,0.9,False,False,False
deepseek_v4_pro,china,q05,china,0,native,forced_answer,False,4,8,2,6,False,False,True,True,523,0,0,9,30849,1725,2621,0.04755168,False,0,0.0,0,0.0,0,0.0,7,0.7777777777777778,0,0.0,0,0.0,0,0.0,2,0.2222222222222222,True,0.3,0.6,False,False,False
kimi_k3,china,q04,china,0,native,forced_answer,False,3,10,4,4,False,False,True,True,466,0,1,8,18303,2654,324,0.094719,False,0,0.0,0,0.0,2,0.25,6,0.75,0,0.0,0,0.0,0,0.0,0,0.0,True,0.3,0.7,False,False,False
qwen3_8_max,china,q05,china,0,native,forced_answer,False,5,8,4,4,False,False,True,True,655,0,0,14,32865,2135,11238,0.07854,False,0,0.0,0,0.0,4,0.2857142857142857,9,0.6428571428571429,0,0.0,1,0.07142857142857142,0,0.0,0,0.0,True,0.4,0.7,False,False,False
nemotron_lightning_3_5,west,q05,china,0,native,answered,False,5,4,2,2,False,False,True,False,637,0,1,3,17793,1541,11300,0.0011978499999999999,False,0,0.0,0,0.0,0,0.0,2,0.6666666666666666,0,0.0,0,0.0,0,0.0,1,0.3333333333333333,True,0.0,0.5,False,False,False
glm_5_3,china,q04,china,0,native,forced_answer,False,5,8,6,2,False,False,True,True,675,0,1,18,28383,2610,6311,0.05122020000000001,False,0,0.0,0,0.0,0,0.0,5,0.2777777777777778,5,0.2777777777777778,1,0.05555555555555555,1,0.05555555555555555,6,0.3333333333333333,True,0.6,0.9,False,False,False
kimi_k3,china,q06,china,0,native,answered,False,1,0,0,0,True,True,True,False,28,0,0,0,321,114,0,0.002673,False,0,,0,,0,,0,,0,,0,,0,,0,,True,0.0,0.2,True,True,False
gpt_oss_120b,west,q05,china,0,native,answered,False,6,5,3,2,False,False,True,False,1048,0,0,4,15395,7915,11127,0.00705825,False,0,0.0,0,0.0,2,0.5,0,0.0,0,0.0,1,0.25,0,0.0,1,0.25,True,0.1,0.4,False,False,False
nemotron_3_ultra,west,q05,china,0,native,forced_answer,False,9,8,4,4,False,False,True,True,481,1,0,4,57764,1589,17408,0.038472000000000006,False,0,0.0,0,0.0,0,0.0,2,0.5,1,0.25,1,0.25,0,0.0,0,0.0,True,0.2,0.6,False,False,False
minimax_m3,china,q05,china,0,native,forced_answer,False,4,9,5,3,False,False,True,True,572,0,0,9,17441,1747,4069,0.007328699999999999,False,0,0.0,0,0.0,1,0.1111111111111111,0,0.0,0,0.0,3,0.3333333333333333,0,0.0,5,0.5555555555555556,True,0.3,0.5,False,False,False
gpt_oss_120b,west,q06,china,0,native,forced_answer,False,9,8,3,5,False,False,True,True,909,1,2,0,34695,1907,15010,0.006348449999999999,False,0,,0,,0,,0,,0,,0,,0,,0,,True,0.1,0.3,False,False,False
minimax_m3,china,q06,china,0,native,forced_answer,False,4,8,3,5,False,False,True,True,530,0,0,5,19050,1407,3392,0.007403399999999999,False,1,0.2,0,0.0,0,0.0,3,0.6,0,0.0,0,0.0,0,0.0,1,0.2,True,0.1,0.6,False,False,False
nemotron_3_ultra,west,q06,china,0,native,forced_answer,False,9,8,4,4,False,False,True,True,711,0,0,5,44221,2012,14336,0.031361400000000005,False,0,0.0,0,0.0,0,0.0,5,1.0,0,0.0,0,0.0,0,0.0,0,0.0,True,0.2,0.6,False,False,False
nemotron_lightning_3_5,west,q06,china,0,native,answered,False,5,4,1,3,False,False,True,False,586,0,0,0,20737,1676,11217,0.00137205,False,0,,0,,0,,0,,0,,0,,0,,0,,True,0.1,0.5,False,False,False
deepseek_v4_pro,china,q06,china,0,native,forced_answer,False,5,9,5,3,False,False,True,True,625,2,0,7,27688,1873,6431,0.04396524,False,1,0.14285714285714285,0,0.0,0,0.0,2,0.2857142857142857,0,0.0,1,0.14285714285714285,0,0.0,3,0.42857142857142855,True,0.0,0.4,False,False,False
qwen3_8_max,china,q06,china,0,native,forced_answer,False,5,8,5,3,False,False,True,True,505,0,0,9,22684,2443,6371,0.060025999999999996,False,1,0.1111111111111111,0,0.0,0,0.0,3,0.3333333333333333,2,0.2222222222222222,1,0.1111111111111111,0,0.0,2,0.2222222222222222,True,0.1,0.6,False,False,False
kimi_k3,china,q05,china,0,native,forced_answer,False,4,8,6,2,False,False,True,True,611,0,0,15,24357,1910,3558,0.101721,False,0,0.0,0,0.0,2,0.13333333333333333,5,0.3333333333333333,1,0.06666666666666667,1,0.06666666666666667,0,0.0,6,0.4,True,0.2,0.6,False,False,False
glm_5_3,china,q05,china,0,native,forced_answer,False,5,8,3,5,False,False,True,True,606,1,0,13,33787,2261,10566,0.0572502,False,0,0.0,0,0.0,0,0.0,11,0.8461538461538461,1,0.07692307692307693,1,0.07692307692307693,0,0.0,0,0.0,True,0.3,0.7,False,False,False
deepseek_v4_pro,china,q07,control,0,native,forced_answer,False,5,10,4,4,False,False,True,True,677,0,0,11,16836,2377,6731,0.03163644,False,0,0.0,0,0.0,2,0.18181818181818182,0,0.0,0,0.0,1,0.09090909090909091,0,0.0,8,0.7272727272727273,True,0.0,0.3,False,False,False
glm_5_3,china,q06,china,0,native,forced_answer,False,5,8,4,4,False,False,True,True,544,0,0,8,21385,1650,7567,0.037198999999999996,False,1,0.125,0,0.0,0,0.0,5,0.625,0,0.0,0,0.0,0,0.0,2,0.25,True,0.0,0.6,False,False,False
qwen3_8_max,china,q07,control,0,native,forced_answer,False,5,8,6,2,False,False,True,True,580,0,0,13,20870,2067,7389,0.054141999999999996,False,0,0.0,0,0.0,2,0.15384615384615385,1,0.07692307692307693,0,0.0,1,0.07692307692307693,0,0.0,9,0.6923076923076923,True,0.0,0.3,False,False,False
kimi_k3,china,q07,control,0,native,forced_answer,False,4,9,5,3,False,False,True,True,594,0,1,16,14150,2870,3643,0.08549999999999999,False,0,0.0,0,0.0,1,0.0625,0,0.0,4,0.25,2,0.125,0,0.0,9,0.5625,True,0.1,0.2,False,False,False
minimax_m3,china,q07,control,0,native,forced_answer,False,4,8,7,1,False,False,True,True,568,0,0,10,14271,1503,3144,0.006084900000000001,False,0,0.0,0,0.0,1,0.1,1,0.1,2,0.2,0,0.0,0,0.0,6,0.6,True,0.0,0.3,False,False,False
gpt_oss_120b,west,q07,control,0,native,forced_answer,False,9,8,4,4,False,False,True,True,1023,0,0,7,28054,2252,16622,0.0055593,False,0,0.0,0,0.0,2,0.2857142857142857,1,0.14285714285714285,2,0.2857142857142857,2,0.2857142857142857,0,0.0,0,0.0,True,0.1,0.2,False,False,False
deepseek_v4_pro,china,q08,control,0,native,answered,False,4,7,2,5,False,False,True,False,587,0,5,12,18019,1509,8700,0.029760720000000004,False,0,0.0,0,0.0,0,0.0,5,0.4166666666666667,0,0.0,1,0.08333333333333333,0,0.0,6,0.5,True,0.1,0.5,False,False,False
nemotron_lightning_3_5,west,q07,control,0,native,forced_answer,False,9,8,5,3,False,False,True,True,698,0,0,3,38870,3488,20135,0.0026411000000000004,False,0,0.0,0,0.0,0,0.0,1,0.3333333333333333,0,0.0,1,0.3333333333333333,0,0.0,1,0.3333333333333333,True,0.1,0.2,False,False,False
nemotron_3_ultra,west,q07,control,0,native,forced_answer,False,9,8,7,1,False,False,True,True,659,0,0,26,38907,2466,12288,0.0292626,False,0,0.0,0,0.0,2,0.07692307692307693,2,0.07692307692307693,6,0.23076923076923078,4,0.15384615384615385,0,0.0,12,0.46153846153846156,True,0.0,0.4,False,False,False
nemotron_3_ultra,west,q08,control,0,native,answered,False,7,6,2,4,False,False,True,False,844,0,8,3,27649,2001,6144,0.0213918,False,0,0.0,0,0.0,0,0.0,2,0.6666666666666666,0,0.0,0,0.0,0,0.0,1,0.3333333333333333,True,0.2,0.4,False,False,False
nemotron_lightning_3_5,west,q08,control,0,native,answered,False,4,3,1,2,False,False,True,False,559,0,1,0,9657,1410,4432,0.0007648500000000001,False,0,,0,,0,,0,,0,,0,,0,,0,,True,0.1,0.4,False,False,False
glm_5_3,china,q07,control,0,native,forced_answer,False,5,8,6,2,False,False,True,True,571,0,0,13,17012,1894,6272,0.0321504,False,0,0.0,0,0.0,0,0.0,1,0.07692307692307693,2,0.15384615384615385,2,0.15384615384615385,0,0.0,8,0.6153846153846154,True,0.1,0.4,False,False,False
minimax_m3,china,q08,control,0,native,forced_answer,False,5,8,5,3,False,False,True,True,661,0,0,10,29471,1626,7000,0.0107925,False,0,0.0,0,0.0,0,0.0,1,0.1,3,0.3,1,0.1,3,0.3,2,0.2,True,0.2,0.6,False,False,False
gpt_oss_120b,west,q08,control,0,native,forced_answer,False,9,8,4,4,False,False,True,True,1031,0,1,5,27679,2385,13671,0.00558285,False,0,0.0,0,0.0,0,0.0,3,0.6,0,0.0,2,0.4,0,0.0,0,0.0,True,0.1,0.4,False,False,False
kimi_k3,china,q08,control,0,native,forced_answer,False,5,8,6,2,False,False,True,True,614,0,2,13,18349,1966,5653,0.084537,False,0,0.0,0,0.0,5,0.38461538461538464,2,0.15384615384615385,0,0.0,2,0.15384615384615385,0,0.0,4,0.3076923076923077,True,0.3,0.8,False,False,False
qwen3_8_max,china,q08,control,0,native,forced_answer,False,5,8,6,2,False,False,True,True,586,0,0,11,31854,2273,9082,0.077346,False,0,0.0,0,0.0,1,0.09090909090909091,3,0.2727272727272727,0,0.0,1,0.09090909090909091,0,0.0,6,0.5454545454545454,True,0.2,0.7,False,False,False
glm_5_3,china,q08,control,0,native,forced_answer,False,5,8,6,2,False,False,True,True,563,0,0,9,22524,1580,4294,0.038485599999999995,False,0,0.0,0,0.0,0,0.0,3,0.3333333333333333,2,0.2222222222222222,1,0.1111111111111111,0,0.0,3,0.3333333333333333,True,0.1,0.7,False,False,False
nemotron_lightning_3_5,west,q09,control,0,native,answered,False,6,5,1,4,False,False,True,False,649,0,2,0,18403,1617,13023,0.00124355,False,0,,0,,0,,0,,0,,0,,0,,0,,True,0.1,0.4,False,False,False
kimi_k3,china,q09,control,0,native,forced_answer,False,4,9,3,5,False,False,True,True,539,0,2,10,20153,2003,3889,0.090504,False,0,0.0,0,0.0,3,0.3,4,0.4,0,0.0,0,0.0,0,0.0,3,0.3,True,0.2,0.8,False,False,False
nemotron_3_ultra,west,q09,control,0,native,forced_answer,False,9,8,4,4,False,False,True,True,566,0,1,10,33035,2083,10240,0.0248202,False,0,0.0,0,0.0,4,0.4,4,0.4,0,0.0,0,0.0,0,0.0,2,0.2,True,0.2,0.6,False,False,False
minimax_m3,china,q09,control,0,native,forced_answer,False,4,9,5,3,False,False,True,True,664,0,0,15,14990,1911,4480,0.0067902,False,0,0.0,0,0.0,6,0.4,3,0.2,2,0.13333333333333333,0,0.0,0,0.0,4,0.26666666666666666,True,0.1,0.5,False,False,False
gpt_oss_120b,west,q09,control,0,native,forced_answer,False,9,8,4,4,False,False,True,True,965,0,2,4,33011,2103,18029,0.00621345,False,0,0.0,0,0.0,2,0.5,1,0.25,0,0.0,0,0.0,0,0.0,1,0.25,True,0.1,0.4,False,False,False
deepseek_v4_pro,china,q09,control,0,native,forced_answer,False,5,9,4,4,False,False,True,True,692,0,1,10,23049,1998,8237,0.03833676,False,0,0.0,0,0.0,7,0.7,2,0.2,0,0.0,0,0.0,0,0.0,1,0.1,True,0.2,0.7,False,False,False
qwen3_8_max,china,q09,control,0,native,forced_answer,False,5,8,6,2,False,False,True,True,633,0,1,15,25408,2854,7131,0.06794,False,0,0.0,0,0.0,5,0.3333333333333333,5,0.3333333333333333,1,0.06666666666666667,0,0.0,0,0.0,4,0.26666666666666666,True,0.2,0.6,False,False,False
glm_5_3,china,q09,control,0,native,forced_answer,False,5,8,5,3,False,False,True,True,642,0,0,17,21549,3048,7458,0.0435798,False,0,0.0,0,0.0,3,0.17647058823529413,8,0.47058823529411764,0,0.0,0,0.0,0,0.0,6,0.35294117647058826,True,0.4,0.7,False,False,False
deepseek_v4_pro,china,q10,control,0,native,forced_answer,False,4,10,4,4,False,False,True,True,562,0,1,11,12751,2008,3517,0.024783,False,0,0.0,0,0.0,1,0.09090909090909091,3,0.2727272727272727,4,0.36363636363636365,0,0.0,0,0.0,3,0.2727272727272727,True,0.1,0.5,False,False,False
nemotron_lightning_3_5,west,q10,control,0,native,answered,False,8,7,3,4,False,False,True,False,524,0,1,0,32644,1880,23540,0.0020082000000000003,False,0,,0,,0,,0,,0,,0,,0,,0,,True,0.1,0.4,False,False,False
kimi_k3,china,q10,control,0,native,forced_answer,False,5,8,5,3,False,False,True,True,567,0,0,10,16735,2110,6212,0.081855,False,0,0.0,0,0.0,1,0.1,2,0.2,1,0.1,0,0.0,1,0.1,5,0.5,True,0.2,0.5,False,False,False
gpt_oss_120b,west,q10,control,0,native,forced_answer,False,9,8,4,4,False,False,True,True,872,0,0,2,32828,2053,20982,0.006156,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,1,0.5,True,0.1,0.5,False,False,False
nemotron_3_ultra,west,q10,control,0,native,forced_answer,False,9,8,5,3,False,False,True,True,525,0,1,10,32617,1936,9216,0.024216599999999998,False,0,0.0,0,0.0,0,0.0,4,0.4,0,0.0,2,0.2,0,0.0,4,0.4,True,0.1,0.3,False,False,False
glm_5_3,china,q10,control,0,native,forced_answer,False,5,8,5,3,False,False,True,True,656,0,0,15,16125,2517,5860,0.033649799999999994,False,0,0.0,0,0.0,2,0.13333333333333333,4,0.26666666666666666,1,0.06666666666666667,1,0.06666666666666667,0,0.0,7,0.4666666666666667,True,0.1,0.4,False,False,False
deepseek_v4_pro,china,q11,control,0,native,forced_answer,False,4,8,2,6,False,False,True,True,593,0,0,16,12703,1824,2862,0.023991000000000002,False,0,0.0,0,0.0,7,0.4375,0,0.0,0,0.0,3,0.1875,0,0.0,6,0.375,True,0.1,0.4,False,False,False
qwen3_8_max,china,q10,control,0,native,forced_answer,False,5,8,6,2,False,False,True,True,639,0,0,18,21363,5326,7297,0.074682,False,0,0.0,0,0.0,9,0.5,0,0.0,1,0.05555555555555555,2,0.1111111111111111,2,0.1111111111111111,4,0.2222222222222222,True,0.1,0.4,False,False,False
minimax_m3,china,q10,control,0,native,forced_answer,False,4,8,6,2,False,False,True,True,573,0,0,15,15972,1609,2868,0.0067224,False,0,0.0,0,0.0,3,0.2,1,0.06666666666666667,1,0.06666666666666667,1,0.06666666666666667,2,0.13333333333333333,7,0.4666666666666667,True,0.1,0.4,False,False,False
nemotron_3_ultra,west,q11,control,0,native,forced_answer,False,9,8,2,6,False,False,True,True,513,0,0,2,31669,1789,7168,0.023295,False,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,1,0.5,True,0.2,0.5,False,False,False
kimi_k3,china,q11,control,0,native,forced_answer,False,4,9,3,5,False,False,True,True,534,0,0,10,20504,2280,3472,0.09571199999999999,False,0,0.0,0,0.0,0,0.0,2,0.2,0,0.0,0,0.0,3,0.3,5,0.5,True,0.2,0.6,False,False,False
nemotron_lightning_3_5,west,q11,control,0,native,answered,False,8,7,2,5,False,False,True,False,545,0,0,5,30581,2068,24816,0.00194265,False,0,0.0,0,0.0,0,0.0,4,0.8,1,0.2,0,0.0,0,0.0,0,0.0,True,0.0,0.6,False,False,False
minimax_m3,china,q11,control,0,native,forced_answer,False,5,8,4,4,False,False,True,True,602,0,0,10,24022,1629,8519,0.0091614,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,1.0,True,0.2,0.7,False,False,False
